4/26/2024,24.7,33.8
4/27/2024,25.1,35.8
4/28/2024,23.1,36.2
4/29/2024,24.1,35.8
4/30/2024,23.8,36.4
5/1/2024,23.5,34.2
5/2/2024,27.1,33.8
5/3/2024,25,33.3
5/4/2024,24.6,35.3
5/5/2024,23,28.9
5/6/2024,22.8,34.2
5/7/2024,20.6,31.7
5/8/2024,20.1,33.9
5/9/2024,22,32.4
5/10/2024,21.3,30.3
5/11/2024,23.4,32.6
5/12/2024,22.6,30.9
5/13/2024,22.9,34.3
5/14/2024,24.3,30.7
5/15/2024,25.5,30
5/16/2024,21.4,32.6
5/17/2024,23.6,36.1
5/18/2024,22.1,32.6
5/19/2024,23.6,36
5/20/2024,26.4,36
5/21/2024,24.8,33.7
5/22/2024,24.5,34
5/23/2024,24.1,35.2
5/24/2024,24.8,35.1
5/25/2024,24.5,31.6
5/26/2024,26.3,33.7
5/27/2024,24.9,34.8
5/28/2024,27,38.5
5/29/2024,26.1,36.8
5/30/2024,27.2,36.8
5/31/2024,26.8,36.9
6/1/2024,25.1,32.4
6/2/2024,22.4,29
6/3/2024,22.4,33
6/4/2024,22.5,31
6/5/2024,23.5,32.9
6/6/2024,25,34.1
6/7/2024,24.1,36.2
6/8/2024,24.9,33.1
6/9/2024,24.4,32.6
6/10/2024,22.7,28.3
6/11/2024,24.6,32.8
6/12/2024,27.7,38.2
6/13/2024,26.8,37.1
6/14/2024,28.3,36.3
6/15/2024,26.7,37.5
6/16/2024,25.5,38.4
6/17/2024,27.1,34.4
6/18/2024,24.2,32.6
6/19/2024,25.9,28.9
6/20/2024,26.4,33.1
6/21/2024,26.4,37.5
6/22/2024,26.5,38.1
6/23/2024,27.7,36.6
6/24/2024,26.3,38.4
6/25/2024,28,39.9
6/26/2024,27.9,36.7
6/27/2024,29,36.9
6/28/2024,31.2,37.2
6/29/2024,27.6,36.5
6/30/2024,24.5,33.6
7/1/2024,26.7,33.1
7/2/2024,24.8,33.5
7/3/2024,26.8,33.8
7/4/2024,26.2,35.6
7/5/2024,23.5,36.2
7/6/2024,22.7,32.1
7/7/2024,23.7,31
7/8/2024,26.8,33.4
7/9/2024,23.7,31
7/10/2024,25.7,33.4
7/11/2024,27,33.5
7/12/2024,23.9,31.3
7/13/2024,23.2,29.9
7/14/2024,22.6,30.1
7/15/2024,22.3,27.9
7/16/2024,22.1,31
7/17/2024,24.4,32.7
